Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
PET WELLNESS,Bella,BellaPetWellness,PW038,Certified Senior Pet Wellness Specialist™,senior-pet-wellness-specialist,pw038-pro-advanced,pw038-pro-master,pw038-pro-practice,senior_pet_wellness_specialist_purchased,pw038_pro_accelerator_purchased,senior-pet-wellness-specialist-certification,pw038-pro-accelerator,senior-pet-wellness-specialist-certification,checkout-senior-pet-wellness-specialist,oto-pw038-pro-accelerator,thank-you-senior-pet-wellness-specialist,97,397,GENERATE NOW,FRONTEND,3
PARENTING,Emma,EmmaParenting,EP006,Certified Child Sleep Coach™,child-sleep-coach,ep006-pro-advanced,ep006-pro-master,ep006-pro-practice,child_sleep_coach_purchased,ep006_pro_accelerator_purchased,child-sleep-coach-certification,ep006-pro-accelerator,child-sleep-coach-certification,checkout-child-sleep-coach,oto-ep006-pro-accelerator,thank-you-child-sleep-coach,97,397,GENERATE NOW,FRONTEND,5
PARENTING,Emma,EmmaParenting,EP008,Certified Conscious Parenting Coach™,conscious-parenting-coach,ep008-pro-advanced,ep008-pro-master,ep008-pro-practice,conscious_parenting_coach_purchased,ep008_pro_accelerator_purchased,conscious-parenting-coach-certification,ep008-pro-accelerator,conscious-parenting-coach-certification,checkout-conscious-parenting-coach,oto-ep008-pro-accelerator,thank-you-conscious-parenting-coach,97,397,GENERATE NOW,FRONTEND,6
PARENTING,Emma,EmmaParenting,EP021,Certified Montessori Parent Coach™,montessori-parent-coach,ep021-pro-advanced,ep021-pro-master,ep021-pro-practice,montessori_parent_coach_purchased,ep021_pro_accelerator_purchased,montessori-parent-coach-certification,ep021-pro-accelerator,montessori-parent-coach-certification,checkout-montessori-parent-coach,oto-ep021-pro-accelerator,thank-you-montessori-parent-coach,97,397,GENERATE NOW,FRONTEND,10
PARENTING,Emma,EmmaParenting,EP023,Certified Only Child Development Coach™,only-child-development-coach,ep023-pro-advanced,ep023-pro-master,ep023-pro-practice,only_child_development_coach_purchased,ep023_pro_accelerator_purchased,only-child-development-coach-certification,ep023-pro-accelerator,only-child-development-coach-certification,checkout-only-child-development-coach,oto-ep023-pro-accelerator,thank-you-only-child-development-coach,97,397,GENERATE NOW,FRONTEND,11
PARENTING,Emma,EmmaParenting,EP027,Certified Positive Parenting Coach™,positive-parenting-coach,ep027-pro-advanced,ep027-pro-master,ep027-pro-practice,positive_parenting_coach_purchased,ep027_pro_accelerator_purchased,positive-parenting-coach-certification,ep027-pro-accelerator,positive-parenting-coach-certification,checkout-positive-parenting-coach,oto-ep027-pro-accelerator,thank-you-positive-parenting-coach,97,397,GENERATE NOW,FRONTEND,13
PARENTING,Emma,EmmaParenting,EP039,Certified Special Needs Parenting Coach™,special-needs-parenting-coach,ep039-pro-advanced,ep039-pro-master,ep039-pro-practice,special_needs_parenting_coach_purchased,ep039_pro_accelerator_purchased,special-needs-parenting-coach-certification,ep039-pro-accelerator,special-needs-parenting-coach-certification,checkout-special-needs-parenting-coach,oto-ep039-pro-accelerator,thank-you-special-needs-parenting-coach,97,397,GENERATE NOW,FRONTEND,14
FAITH-BASED COACHING,Grace,GraceFaithBased,GF003,Certified Christian Life Coach™,christian-life-coach,gf003-pro-advanced,gf003-pro-master,gf003-pro-practice,christian_life_coach_purchased,gf003_pro_accelerator_purchased,christian-life-coach-certification,gf003-pro-accelerator,christian-life-coach-certification,checkout-christian-life-coach,oto-gf003-pro-accelerator,thank-you-christian-life-coach,97,397,GENERATE NOW,FRONTEND,16
FAITH-BASED COACHING,Grace,GraceFaithBased,GF009,Certified Integrative Medicine Practitioner™,integrative-medicine-practitioner,gf009-pro-advanced,gf009-pro-master,gf009-pro-practice,integrative_medicine_practitioner_purchased,gf009_pro_accelerator_purchased,integrative-medicine-practitioner-certification,gf009-pro-accelerator,integrative-medicine-practitioner-certification,checkout-integrative-medicine-practitioner,oto-gf009-pro-accelerator,thank-you-integrative-medicine-practitioner,97,397,GENERATE NOW,FRONTEND,17
FAITH-BASED COACHING,Grace,GraceFaithBased,GF012,Certified Play Therapy Coach™,play-therapy-coach,gf012-pro-advanced,gf012-pro-master,gf012-pro-practice,play_therapy_coach_purchased,gf012_pro_accelerator_purchased,play-therapy-coach-certification,gf012-pro-accelerator,play-therapy-coach-certification,checkout-play-therapy-coach,oto-gf012-pro-accelerator,thank-you-play-therapy-coach,97,397,GENERATE NOW,FRONTEND,18
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE002,Certified Akashic Records Practitioner™,akashic-records-practitioner,se002-pro-advanced,se002-pro-master,se002-pro-practice,akashic_records_practitioner_purchased,se002_pro_accelerator_purchased,akashic-records-practitioner-certification,se002-pro-accelerator,akashic-records-practitioner-certification,checkout-akashic-records-practitioner,oto-se002-pro-accelerator,thank-you-akashic-records-practitioner,97,397,GENERATE NOW,FRONTEND,19
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE003,Certified Akashic Records Practitioner™,akashic-records-practitioner,se003-pro-advanced,se003-pro-master,se003-pro-practice,akashic_records_practitioner_purchased,se003_pro_accelerator_purchased,akashic-records-practitioner-certification,se003-pro-accelerator,akashic-records-practitioner-certification,checkout-akashic-records-practitioner,oto-se003-pro-accelerator,thank-you-akashic-records-practitioner,97,397,GENERATE NOW,FRONTEND,20
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE015,Certified Crystal Healing Practitioner™,crystal-healing-practitioner,se015-pro-advanced,se015-pro-master,se015-pro-practice,crystal_healing_practitioner_purchased,se015_pro_accelerator_purchased,crystal-healing-practitioner-certification,se015-pro-accelerator,crystal-healing-practitioner-certification,checkout-crystal-healing-practitioner,oto-se015-pro-accelerator,thank-you-crystal-healing-practitioner,97,397,GENERATE NOW,FRONTEND,21
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE019,Certified Energy Healing Practitioner™,energy-healing-practitioner,se019-pro-advanced,se019-pro-master,se019-pro-practice,energy_healing_practitioner_purchased,se019_pro_accelerator_purchased,energy-healing-practitioner-certification,se019-pro-accelerator,energy-healing-practitioner-certification,checkout-energy-healing-practitioner,oto-se019-pro-accelerator,thank-you-energy-healing-practitioner,97,397,GENERATE NOW,FRONTEND,22
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE030,Certified Land Energy Healing Practitioner™,land-energy-healing-practitioner,se030-pro-advanced,se030-pro-master,se030-pro-practice,land_energy_healing_practitioner_purchased,se030_pro_accelerator_purchased,land-energy-healing-practitioner-certification,se030-pro-accelerator,land-energy-healing-practitioner-certification,checkout-land-energy-healing-practitioner,oto-se030-pro-accelerator,thank-you-land-energy-healing-practitioner,97,397,GENERATE NOW,FRONTEND,23
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE040,Certified Past Life Regression Therapist™,past-life-regression-therapist,se040-pro-advanced,se040-pro-master,se040-pro-practice,past_life_regression_therapist_purchased,se040_pro_accelerator_purchased,past-life-regression-therapist-certification,se040-pro-accelerator,past-life-regression-therapist-certification,checkout-past-life-regression-therapist,oto-se040-pro-accelerator,thank-you-past-life-regression-therapist,97,397,GENERATE NOW,FRONTEND,24
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE055,Certified Sound Bath Facilitator™,sound-bath-facilitator,se055-pro-advanced,se055-pro-master,se055-pro-practice,sound_bath_facilitator_purchased,se055_pro_accelerator_purchased,sound-bath-facilitator-certification,se055-pro-accelerator,sound-bath-facilitator-certification,checkout-sound-bath-facilitator,oto-se055-pro-accelerator,thank-you-sound-bath-facilitator,97,397,GENERATE NOW,FRONTEND,25
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE060,Certified Theta Healing Practitioner™,theta-healing-practitioner,se060-pro-advanced,se060-pro-master,se060-pro-practice,theta_healing_practitioner_purchased,se060_pro_accelerator_purchased,theta-healing-practitioner-certification,se060-pro-accelerator,theta-healing-practitioner-certification,checkout-theta-healing-practitioner,oto-se060-pro-accelerator,thank-you-theta-healing-practitioner,97,397,GENERATE NOW,FRONTEND,26
MIND-BODY MODALITIES,Maya,MayaMindfulness,MM013,Certified EFT/Tapping Therapist™,efttapping-therapist,mm013-pro-advanced,mm013-pro-master,mm013-pro-practice,efttapping_therapist_purchased,mm013_pro_accelerator_purchased,efttapping-therapist-certification,mm013-pro-accelerator,efttapping-therapist-certification,checkout-efttapping-therapist,oto-mm013-pro-accelerator,thank-you-efttapping-therapist,97,397,GENERATE NOW,FRONTEND,28
THERAPY MODALITIES,Maya,MayaMindfulness,MM046,Certified Systemic Family Constellations Therapist™,systemic-family-constellations-therapist,mm046-pro-advanced,mm046-pro-master,mm046-pro-practice,systemic_family_constellations_therapist_purchased,mm046_pro_accelerator_purchased,systemic-family-constellations-therapist-certification,mm046-pro-accelerator,systemic-family-constellations-therapist-certification,checkout-systemic-family-constellations-therapist,oto-mm046-pro-accelerator,thank-you-systemic-family-constellations-therapist,97,397,GENERATE NOW,FRONTEND,32
