Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW001,Certified Pet Wellness Specialist™,pet-wellness-specialist,pw001-pro-advanced,pw001-pro-master,pw001-pro-practice,pet_wellness_specialist_purchased,pw001_pro_accelerator_purchased,pet-wellness-specialist-certification,pw001-pro-accelerator,pet-wellness-specialist-certification,checkout-pet-wellness-specialist,oto-pw001-pro-accelerator,thank-you-pet-wellness-specialist,97,397,PRIORITY 1,FLAGSHIP,1
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB001,Certified Birth Doula Coach™,birth-doula-coach,fb001-pro-advanced,fb001-pro-master,fb001-pro-practice,birth_doula_coach_purchased,fb001_pro_accelerator_purchased,birth-doula-coach-certification,fb001-pro-accelerator,birth-doula-coach-certification,checkout-birth-doula-coach,oto-fb001-pro-accelerator,thank-you-birth-doula-coach,97,397,PRIORITY 1,FLAGSHIP,134
PARENTING,Emma,EmmaParenting,EP008,Certified Conscious Parenting Coach™,conscious-parenting-coach,ep008-pro-advanced,ep008-pro-master,ep008-pro-practice,conscious_parenting_coach_purchased,ep008_pro_accelerator_purchased,conscious-parenting-coach-certification,ep008-pro-accelerator,conscious-parenting-coach-certification,checkout-conscious-parenting-coach,oto-ep008-pro-accelerator,thank-you-conscious-parenting-coach,97,397,PRIORITY 1,FLAGSHIP,6
FAITH-BASED COACHING,Grace,GraceFaithBased,GF003,Certified Christian Life Coach™,christian-life-coach,gf003-pro-advanced,gf003-pro-master,gf003-pro-practice,christian_life_coach_purchased,gf003_pro_accelerator_purchased,christian-life-coach-certification,gf003-pro-accelerator,christian-life-coach-certification,checkout-christian-life-coach,oto-gf003-pro-accelerator,thank-you-christian-life-coach,97,397,PRIORITY 1,FLAGSHIP,16
,Luna,LunaEnergyHealing,LU016,Certified Energy Healing Practitioner™,energy-healing-practitioner,lu016-pro-advanced,lu016-pro-master,lu016-pro-practice,energy_healing_practitioner_purchased,lu016_pro_accelerator_purchased,energy-healing-practitioner-certification,lu016-pro-accelerator,energy-healing-practitioner-certification,checkout-energy-healing-practitioner,oto-lu016-pro-accelerator,thank-you-energy-healing-practitioner,97,397,PRIORITY 1,FLAGSHIP,16
,Luna,LunaEsoteric,LU017,Certified Akashic Records Practitioner™,akashic-records-practitioner,lu017-pro-advanced,lu017-pro-master,lu017-pro-practice,akashic_records_practitioner_purchased,lu017_pro_accelerator_purchased,akashic-records-practitioner-certification,lu017-pro-accelerator,akashic-records-practitioner-certification,checkout-akashic-records-practitioner,oto-lu017-pro-accelerator,thank-you-akashic-records-practitioner,97,397,PRIORITY 1,FLAGSHIP,17
SEXUALITY & INTIMACY,Luna,LunaSexIntimacy,SI009,Certified Sex Practitioner™,sex-practitioner,si009-pro-advanced,si009-pro-master,si009-pro-practice,sex_practitioner_purchased,si009_pro_accelerator_purchased,sex-practitioner-certification,si009-pro-accelerator,sex-practitioner-certification,checkout-sex-practitioner,oto-si009-pro-accelerator,thank-you-sex-practitioner,97,397,PRIORITY 1,FLAGSHIP,839
MIND-BODY MODALITIES,Maya,MayaMindfulness,MM013,Certified EFT/Tapping Therapist™,efttapping-therapist,mm013-pro-advanced,mm013-pro-master,mm013-pro-practice,efttapping_therapist_purchased,mm013_pro_accelerator_purchased,efttapping-therapist-certification,mm013-pro-accelerator,efttapping-therapist-certification,checkout-efttapping-therapist,oto-mm013-pro-accelerator,thank-you-efttapping-therapist,97,397,PRIORITY 1,FLAGSHIP,28
THERAPY MODALITIES,Maya,MayaTherapyModalities,TM014,Certified Gestalt Therapy Practitioner™,gestalt-therapy-practitioner,tm014-pro-advanced,tm014-pro-master,tm014-pro-practice,gestalt_therapy_practitioner_purchased,tm014_pro_accelerator_purchased,gestalt-therapy-practitioner-certification,tm014-pro-accelerator,gestalt-therapy-practitioner-certification,checkout-gestalt-therapy-practitioner,oto-tm014-pro-accelerator,thank-you-gestalt-therapy-practitioner,97,397,PRIORITY 1,FLAGSHIP,81
SENIOR & END-OF-LIFE,Olivia,OliviaGriefEndoflife,GL013,Certified Grief & Loss Specialist™,grief-and-loss-specialist,gl013-pro-advanced,gl013-pro-master,gl013-pro-practice,grief_and_loss_specialist_purchased,gl013_pro_accelerator_purchased,grief-and-loss-specialist-certification,gl013-pro-accelerator,grief-and-loss-specialist-certification,checkout-grief-and-loss-specialist,oto-gl013-pro-accelerator,thank-you-grief-and-loss-specialist,97,397,PRIORITY 1,FLAGSHIP,36
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT040,Certified Narcissistic Abuse Recovery Specialist™,narcissistic-abuse-recovery-specialist,nt040-pro-advanced,nt040-pro-master,nt040-pro-practice,narcissistic_abuse_recovery_specialist_purchased,nt040_pro_accelerator_purchased,narcissistic-abuse-recovery-specialist-certification,nt040-pro-accelerator,narcissistic-abuse-recovery-specialist-certification,checkout-narcissistic-abuse-recovery-specialist,oto-nt040-pro-accelerator,thank-you-narcissistic-abuse-recovery-specialist,97,397,PRIORITY 1,FLAGSHIP,41
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND009,Certified Autism & Neurodiversity Support Specialist™,autism-and-neurodiversity-support-specialist,nd009-pro-advanced,nd009-pro-master,nd009-pro-practice,autism_and_neurodiversity_support_specialist_purchased,nd009_pro_accelerator_purchased,autism-and-neurodiversity-support-specialist-certification,nd009-pro-accelerator,autism-and-neurodiversity-support-specialist-certification,checkout-autism-and-neurodiversity-support-specialist,oto-nd009-pro-accelerator,thank-you-autism-and-neurodiversity-support-specialist,97,397,PRIORITY 1,FLAGSHIP,46
HERBALISM & PLANT MEDICINE,Sage,SageHerbalism,HB001,Certified Clinical Herbalist™,clinical-herbalist,hb001-pro-advanced,hb001-pro-master,hb001-pro-practice,clinical_herbalist_purchased,hb001_pro_accelerator_purchased,clinical-herbalist-certification,hb001-pro-accelerator,clinical-herbalist-certification,checkout-clinical-herbalist,oto-hb001-pro-accelerator,thank-you-clinical-herbalist,97,397,PRIORITY 1,FLAGSHIP,1
FUNCTIONAL MEDICINE,Sarah,SarahFunctionalMedicine,FM078,Certified Functional Medicine Practitioner™,functional-medicine-practitioner,fm078-pro-advanced,fm078-pro-master,fm078-pro-practice,functional_medicine_practitioner_purchased,fm078_pro_accelerator_purchased,functional-medicine-practitioner-certification,fm078-pro-accelerator,functional-medicine-practitioner-certification,checkout-functional-medicine-practitioner,oto-fm078-pro-accelerator,thank-you-functional-medicine-practitioner,97,397,PRIORITY 1,FLAGSHIP,59
