Pixel #,Pixel Name,Emoji,Flagship Course,Methodology,Course Slug,ClickFunnels SKU,Main Price,Pro Bundle Price,Generation Status,DB Import Status,CF Product Created,Thumbnail,Sales Page,Launch Status,Daily Budget,CPC Estimate,Target Audience,Notes
1,WOMEN'S HORMONES,🌸,Women's Hormone Health Coach,N.O.U.R.I.S.H. Method™,women-s-hormone-health-coach,womens-hormone-health-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$175,$0.80-1.50,Women 35-55 menopause/PCOS/thyroid,#1 buyer demographic
2,FERTILITY & BIRTH,🤰,Birth & Postpartum Doula,B.I.R.T.H. Support Method™,birth-postpartum-doula,birth-doula-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$100,$1.00-1.80,TTC pregnant new moms 25-40,High emotion high LTV
3,FUNCTIONAL MEDICINE,🏥,Functional Medicine Practitioner,F.M. Core Method™,functional-medicine-complete-certification,functional-medicine-complete-certification,97,397,✅ LIVE,✅ LIVE,✅ LIVE,✅ LIVE,✅ LIVE,LIVE,$150,$1.00-2.00,Health seekers gut autoimmune,Proven performer
4,NARC & RELATIONSHIP TRAUMA,💔,Narcissistic Abuse Recovery Coach,N.A.R.C. Recovery Method™,narcissistic-abuse-recovery-coach,narc-recovery-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$150,$0.50-1.20,Women 30-55 abuse survivors,TikTok virality
5,SEX & INTIMACY,💋,Sex & Intimacy Coach,I.N.T.I.M.A.T.E. Method™,sex-intimacy-coach,sex-intimacy-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$1.50-3.00,Couples women 30-50,Taboo = low competition
6,NEURODIVERSITY,🧩,ADHD Support Specialist,A.D.H.D. Method™,certified-adhd-support-specialist,adhd-support-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$1.20-2.00,Parents adults ADHD/Autism,Growing market
7,THERAPY MODALITIES,🎨,EFT/Tapping Practitioner,T.A.P.P.I.N.G. Protocol™,eft-tapping-practitioner,eft-tapping-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$1.50-2.50,Coaches wanting therapy tools,Goes viral
8,GRIEF & END OF LIFE,😢,Grief & Loss Coach / Death Doula,G.R.A.C.E. Method™,grief-and-loss-coach,grief-coach-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$0.60-1.00,Families seniors bereavement,Trending niche
9,LIFE COACHING,🎯,Life Coach,L.I.F.E. Blueprint Method™,life-coach,life-coach-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$100,$1.20-2.00,Career changers purpose seekers,ICF competitor
10,SPIRITUAL & ENERGY,🔮,Energy Healing Practitioner,B.A.L.A.N.C.E. Protocol™,energy-healing-practitioner,energy-healing-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$0.80-1.50,Spiritual seekers manifestation,Mindvalley competitor
11,HERBALISM,🌿,Herbalism Practitioner,H.E.R.B.S. Method™,herbalism-practitioner,herbalism-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$50,$0.70-1.30,Natural medicine lovers,$50B market untapped
12,PET WELLNESS,🐾,Pet Wellness Coach,P.A.W.S. Method™,pet-wellness-coach,pet-wellness-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$0.80-1.50,Pet parents dog/cat owners,Emotional buyers
13,PARENTING & CHILD DEV,👶,Conscious Parenting Coach,R.A.I.S.E. Framework™,conscious-parenting-coach,parenting-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$75,$0.70-1.30,Parents mothers 28-45,Parents invest in kids
14,FAITH-BASED,🙏,Christian Life Coach,F.A.I.T.H. Method™,christian-life-coach,christian-coach-certification,97,397,✅ Generated,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$50,$0.40-0.90,Christians church ministries,Loyal niche
15,INTEGRATIVE MEDICINE,🩺,Integrative Medicine Practitioner,B.R.I.D.G.E. Method™,integrative-medicine-practitioner,integrative-medicine-certification,97,497,🔄 Generating,❌ Pending,❌ Pending,❌ Pending,❌ Pending,NOT LAUNCHED,$100,$2.00-4.00,Nurses practitioners healthcare,YOUR MOAT - bridge naturopathic+allopathic
