Offer Type,Content,❌ Don’t Say (Likely Promotions Tab),✅ Instead Say (Likely Primary Tab)
Holiday % Off,Subject Line,Labor Day Sale – 25% Off Sitewide!,Account Update: Holiday Code Now Active
,Preview Text,Ends Monday at midnight – don’t miss it,A 25% discount has been pre-applied to your account—expires Monday
Holiday % Off,Subject Line,Christmas Sale is Here 🎄,[IMPORTANT] Holiday Discount Synced to Your Account
,Preview Text,Take 30% off everything this weekend only,Your exclusive 30% credit is now live—check your dashboard
Holiday $ Off,Subject Line,$25 Off Orders Over $100 – Today Only,System Notice: $25 Credit Added to Your Holiday Account
,Preview Text,Ends tonight – don’t miss your savings,Use it on any order $100+—expires tonight
Holiday $ Off,Subject Line,Save $50 This Black Friday,[ACTION REQUESTED] $50 Bonus Linked to Your Account
,Preview Text,Automatically applied at checkout,Redeem your discount code before it expires Friday
Item $ Off,Subject Line,$20 Off All {Product_Name}s This Weekend,Re: Your $20 Bonus for {Product_Name} Has Been Activated
,Preview Text,Discount auto-applied – ends Sunday,Apply your account-linked discount before Sunday night
Item $ Off,Subject Line,Take $15 Off This Week’s Drop,System Notice: Account-Level Credit for {Product_Name}
,Preview Text,{Product_Name} just got more affordable,$15 credit preloaded—tap to redeem
Collection % Off,Subject Line,Flash Sale: 40% Off {Collection_Name},Account Alert: Your {Collection_Name} Discount Is Live
,Preview Text,Shop the hottest collection while it lasts,A 40% off code was added to your account—expires soon
Collection % Off,Subject Line,24-Hour Sale on {Collection_Name},Re: Limited-Time Discount Synced to Your Profile
,Preview Text,Ends at midnight—don’t miss out,{Collection_Name} is now 40% off inside your account
Free Gift with Spend,Subject Line,Free Gift with $75+ Order,[NOTICE] Complimentary Item Linked to Your Spend Tier
,Preview Text,Add to cart and it’s yours,Orders $75+ now qualify for a free bonus—yours is waiting
Free Gift with Spend,Subject Line,This Gift Is Yours With Any $100+ Cart,Re: Gift Synced to Active Cart Threshold
,Preview Text,Auto-added once your cart hits $100,Account flagged for bonus—complete checkout to claim it
Free plus Shipping,Subject Line,Get This {Product_Name} Free – Just Cover Shipping!,System Notice: Free {Product_Name} Added to Your Account
,Preview Text,Limited quantities available,Your gift is waiting—just cover shipping to confirm
Free plus Shipping,Subject Line,$0 {Product_Name} Offer Inside,[ALERT] No-Cost Item Added to Profile
,Preview Text,Just pay S&H—don’t miss this one,Account shows {Product_Name} ready to ship—expires soon
Store Credit,Subject Line,$17.65 Store Credit For You 🎉,Balance Update: $17.65 Store Credit Issued
,Preview Text,Redeem your reward before it expires,Your new credit is active—tap to view and redeem
Store Credit,Subject Line,You Have Free Credit Waiting,Account Notification: Store Credit Now Active
,Preview Text,It won’t last long—don’t miss it,Use your updated balance before it expires
Mystery Offer,Subject Line,Surprise Discount Inside!,Account Update: Mystery Credit Added
,Preview Text,Reveal what you got,Your mystery bonus was loaded today—check before midnight
Mystery Offer,Subject Line,Spin to Win Your Deal 🌀,Re: Mystery Reward Synced to Your Account
,Preview Text,Random discounts up to 50%,Open to reveal your unique offer
Early Access,Subject Line,New {Collection_Name} Drop Just Landed!,Update: Early Access Code Issued for {Collection_Name}
,Preview Text,Shop early before it sells out,You’ve been granted early access—link expires in 24 hrs
Early Access,Subject Line,Hot Drop Just Went Live 🔥,Account Alert: {Collection_Name} Access Now Active
,Preview Text,Don’t miss this launch,Your profile was flagged for exclusive early access
Low Stock,Subject Line,Last Chance: Limited Stock on Our Best {Collection_Name}!,Update: Low Stock on Your Future {Collection_Name}
,Preview Text,Low Stock. Secure yours before it's too late!,Low stock. Secure yours before it's gone (again).
Low Stock,Subject Line,Going Fast: Only a Few {Collection_Name} Left!,Re: Your Future {Collection_Name} (LOW STOCK ALERT)
,Preview Text,Hurry before it sells out—shop now!,Real buyers are grabbing it already—inventory moving fast.
Free plus Shipping,Subject Line,Free Gift Inside – Just Pay Shipping!,Account Update: Claim Your Free Gift {{ first_name|title|default:'Now' }}—Others Already Have!
,Preview Text,Order yours now before it’s gone!,Claim your free {{ Product_Name }} – just cover shipping before it expires.
Free plus Shipping,Subject Line,Get a FREE {{ Collection_Name }} Today Only! ,"Update: Free Gift Added To Your Account, {{ first_name|title|default:'My Friend' }}"
,Preview Text,Stock is extremely limited – claim yours now.,Your free item has been reserved – act now while inventory lasts.
Free plus Shipping,Subject Line,Last Chance to Claim Your FREE Item,"Account Update: {{ first_name|title|default:'Hey' }}, Your Free Gift Is Still Waiting..."
,Preview Text,Offer ends tonight at midnight. Shop now before it's too late.,"You haven’t claimed your free gift yet, {{ first_name|title|default:'my friend' }}. Just pay shipping before it’s gone."
Birthday % Off,Subject Line,🎉 Happy Birthday! Enjoy 25% Off Just for You!,"Notice: A Birthday Discount Has Been Added to Your Account, {{ first_name|title|default:'my friend' }}!"
,Preview Text,Your exclusive birthday discount is here — use code BDAY25!	,Log in to unlock your birthday offer — it won’t last long.
Birthday $ Off,Subject Line,🎁 Celebrate with $30 Off – Today Only!,System Notice: Birthday Reward Activated for {{ first_name|title|default:you' }}
,Preview Text,Your birthday savings are here — use code BDAY30 now!,Your account was updated with a birthday credit — check before it expires.
