Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
FunctionalMedicine,Sarah,SarahFunctionalMedicine,SA001,Certified Gut Health Specialist™,gut-health-specialist,sa001-pro-advanced,sa001-pro-master,sa001-pro-practice,gut_health_specialist_purchased,sa001_pro_accelerator_purchased,gut-health-specialist-certification,sa001-pro-accelerator,gut-health-specialist-certification,checkout-gut-health-specialist,oto-sa001-pro-accelerator,thank-you-gut-health-specialist,97,397,GENERATE WEEK 2,EXPANSION,1
FunctionalMedicine,Sarah,SarahFunctionalMedicine,SA002,Certified Holistic Nutrition Specialist™,holistic-nutrition-specialist,sa002-pro-advanced,sa002-pro-master,sa002-pro-practice,holistic_nutrition_specialist_purchased,sa002_pro_accelerator_purchased,holistic-nutrition-specialist-certification,sa002-pro-accelerator,holistic-nutrition-specialist-certification,checkout-holistic-nutrition-specialist,oto-sa002-pro-accelerator,thank-you-holistic-nutrition-specialist,97,397,GENERATE WEEK 2,EXPANSION,2
FunctionalMedicine,Sarah,SarahFunctionalMedicine,SA003,Certified Brain Health & Neuroscience Specialist™,brain-health-and-neuroscience-specialist,sa003-pro-advanced,sa003-pro-master,sa003-pro-practice,brain_health_and_neuroscience_specialist_purchased,sa003_pro_accelerator_purchased,brain-health-and-neuroscience-specialist-certification,sa003-pro-accelerator,brain-health-and-neuroscience-specialist-certification,checkout-brain-health-and-neuroscience-specialist,oto-sa003-pro-accelerator,thank-you-brain-health-and-neuroscience-specialist,97,397,GENERATE WEEK 2,EXPANSION,3
FunctionalMedicine,Sarah,SarahFunctionalMedicine,SA004,Certified Fibromyalgia Specialist™,fibromyalgia-specialist,sa004-pro-advanced,sa004-pro-master,sa004-pro-practice,fibromyalgia_specialist_purchased,sa004_pro_accelerator_purchased,fibromyalgia-specialist-certification,sa004-pro-accelerator,fibromyalgia-specialist-certification,checkout-fibromyalgia-specialist,oto-sa004-pro-accelerator,thank-you-fibromyalgia-specialist,97,397,GENERATE WEEK 2,EXPANSION,4
WomensHormones,Sarah,SarahWomensHormones,SA005,Certified Menopause & Perimenopause Specialist™,menopause-and-perimenopause-specialist,sa005-pro-advanced,sa005-pro-master,sa005-pro-practice,menopause_and_perimenopause_specialist_purchased,sa005_pro_accelerator_purchased,menopause-and-perimenopause-specialist-certification,sa005-pro-accelerator,menopause-and-perimenopause-specialist-certification,checkout-menopause-and-perimenopause-specialist,oto-sa005-pro-accelerator,thank-you-menopause-and-perimenopause-specialist,97,397,GENERATE WEEK 2,EXPANSION,5
WomensHormones,Sarah,SarahWomensHormones,SA006,Certified PCOS & Metabolic Health Specialist™,pcos-and-metabolic-health-specialist,sa006-pro-advanced,sa006-pro-master,sa006-pro-practice,pcos_and_metabolic_health_specialist_purchased,sa006_pro_accelerator_purchased,pcos-and-metabolic-health-specialist-certification,sa006-pro-accelerator,pcos-and-metabolic-health-specialist-certification,checkout-pcos-and-metabolic-health-specialist,oto-sa006-pro-accelerator,thank-you-pcos-and-metabolic-health-specialist,97,397,GENERATE WEEK 2,EXPANSION,6
WomensHormones,Sarah,SarahWomensHormones,SA007,Certified Thyroid Health Specialist™,thyroid-health-specialist,sa007-pro-advanced,sa007-pro-master,sa007-pro-practice,thyroid_health_specialist_purchased,sa007_pro_accelerator_purchased,thyroid-health-specialist-certification,sa007-pro-accelerator,thyroid-health-specialist-certification,checkout-thyroid-health-specialist,oto-sa007-pro-accelerator,thank-you-thyroid-health-specialist,97,397,GENERATE WEEK 2,EXPANSION,7
WomensHormones,Sarah,SarahWomensHormones,SA008,Certified Adrenal Fatigue Specialist™,adrenal-fatigue-specialist,sa008-pro-advanced,sa008-pro-master,sa008-pro-practice,adrenal_fatigue_specialist_purchased,sa008_pro_accelerator_purchased,adrenal-fatigue-specialist-certification,sa008-pro-accelerator,adrenal-fatigue-specialist-certification,checkout-adrenal-fatigue-specialist,oto-sa008-pro-accelerator,thank-you-adrenal-fatigue-specialist,97,397,GENERATE WEEK 2,EXPANSION,8
IntegrativeMedicine,Sarah,SarahIntegrativeMedicine,SA009,Certified Ayurveda Practitioner™,ayurveda-practitioner,sa009-pro-advanced,sa009-pro-master,sa009-pro-practice,ayurveda_practitioner_purchased,sa009_pro_accelerator_purchased,ayurveda-practitioner-certification,sa009-pro-accelerator,ayurveda-practitioner-certification,checkout-ayurveda-practitioner,oto-sa009-pro-accelerator,thank-you-ayurveda-practitioner,97,397,GENERATE WEEK 2,EXPANSION,9
IntegrativeMedicine,Sarah,SarahIntegrativeMedicine,SA010,Certified Naturopathic Practitioner™,naturopathic-practitioner,sa010-pro-advanced,sa010-pro-master,sa010-pro-practice,naturopathic_practitioner_purchased,sa010_pro_accelerator_purchased,naturopathic-practitioner-certification,sa010-pro-accelerator,naturopathic-practitioner-certification,checkout-naturopathic-practitioner,oto-sa010-pro-accelerator,thank-you-naturopathic-practitioner,97,397,GENERATE WEEK 2,EXPANSION,10
