Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status
,Sarah,fm-health,01,Women's Health & Hormones,womens-health-hormones,01-pro-advanced,01-pro-master,01-pro-practice,womens_health_hormones_purchased,01_pro_accelerator_purchased,womens-health-hormones-certification,01-pro-accelerator,womens-health-hormones-certification,checkout-womens-health-hormones,oto-01-pro-accelerator,thank-you-womens-health-hormones,97,397,NOT LAUNCHED
,Sarah,fm-health,02,Hormones & Metabolism,hormones-metabolism,02-pro-advanced,02-pro-master,02-pro-practice,hormones_metabolism_purchased,02_pro_accelerator_purchased,hormones-metabolism-certification,02-pro-accelerator,hormones-metabolism-certification,checkout-hormones-metabolism,oto-02-pro-accelerator,thank-you-hormones-metabolism,97,397,NOT LAUNCHED
,Sarah,fm-health,03,Gut Health,gut-health,03-pro-advanced,03-pro-master,03-pro-practice,gut_health_purchased,03_pro_accelerator_purchased,gut-health-certification,03-pro-accelerator,gut-health-certification,checkout-gut-health,oto-03-pro-accelerator,thank-you-gut-health,97,397,NOT LAUNCHED
,Sarah,fm-health,04,Autoimmune & Inflammation,autoimmune-inflammation,04-pro-advanced,04-pro-master,04-pro-practice,autoimmune_inflammation_purchased,04_pro_accelerator_purchased,autoimmune-inflammation-certification,04-pro-accelerator,autoimmune-inflammation-certification,checkout-autoimmune-inflammation,oto-04-pro-accelerator,thank-you-autoimmune-inflammation,97,397,NOT LAUNCHED
,Sarah,fm-health,05,Mental Health & Nervous System,mental-health-nervous-system,05-pro-advanced,05-pro-master,05-pro-practice,mental_health_nervous_system_purchased,05_pro_accelerator_purchased,mental-health-nervous-system-certification,05-pro-accelerator,mental-health-nervous-system-certification,checkout-mental-health-nervous-system,oto-05-pro-accelerator,thank-you-mental-health-nervous-system,97,397,NOT LAUNCHED
,Sarah,fm-health,06,Nutrition & Lifestyle,nutrition-lifestyle,06-pro-advanced,06-pro-master,06-pro-practice,nutrition_lifestyle_purchased,06_pro_accelerator_purchased,nutrition-lifestyle-certification,06-pro-accelerator,nutrition-lifestyle-certification,checkout-nutrition-lifestyle,oto-06-pro-accelerator,thank-you-nutrition-lifestyle,97,397,NOT LAUNCHED
,Sarah,fm-health,07,"Family, Parenting & Special Populations",family-parenting-special-populations,07-pro-advanced,07-pro-master,07-pro-practice,family_parenting_special_populations_purchased,07_pro_accelerator_purchased,family-parenting-special-populations-certification,07-pro-accelerator,family-parenting-special-populations-certification,checkout-family-parenting-special-populations,oto-07-pro-accelerator,thank-you-family-parenting-special-populations,97,397,NOT LAUNCHED
,Sarah,fm-health,08,Advanced Functional Medicine,advanced-functional-medicine,08-pro-advanced,08-pro-master,08-pro-practice,advanced_functional_medicine_purchased,08_pro_accelerator_purchased,advanced-functional-medicine-certification,08-pro-accelerator,advanced-functional-medicine-certification,checkout-advanced-functional-medicine,oto-08-pro-accelerator,thank-you-advanced-functional-medicine,97,397,NOT LAUNCHED
,Sarah,fm-health,09,Emotional & Holistic Wellness,emotional-holistic-wellness,09-pro-advanced,09-pro-master,09-pro-practice,emotional_holistic_wellness_purchased,09_pro_accelerator_purchased,emotional-holistic-wellness-certification,09-pro-accelerator,emotional-holistic-wellness-certification,checkout-emotional-holistic-wellness,oto-09-pro-accelerator,thank-you-emotional-holistic-wellness,97,397,NOT LAUNCHED
,Sarah,fm-health,10,"Art, Music, Sound & Expressive Therapies",art-music-sound-expressive-therapies,10-pro-advanced,10-pro-master,10-pro-practice,art_music_sound_expressive_therapies_purchased,10_pro_accelerator_purchased,art-music-sound-expressive-therapies-certification,10-pro-accelerator,art-music-sound-expressive-therapies-certification,checkout-art-music-sound-expressive-therapies,oto-10-pro-accelerator,thank-you-art-music-sound-expressive-therapies,97,397,NOT LAUNCHED
,Sarah,fm-health,11,Holistic Lifestyle & Personal Development,holistic-lifestyle-personal-development,11-pro-advanced,11-pro-master,11-pro-practice,holistic_lifestyle_personal_development_purchased,11_pro_accelerator_purchased,holistic-lifestyle-personal-development-certification,11-pro-accelerator,holistic-lifestyle-personal-development-certification,checkout-holistic-lifestyle-personal-development,oto-11-pro-accelerator,thank-you-holistic-lifestyle-personal-development,97,397,NOT LAUNCHED
,Sarah,fm-health,12,"Equine, Animal-Assisted & Nature Therapy",equine-animal-assisted-nature-therapy,12-pro-advanced,12-pro-master,12-pro-practice,equine_animal_assisted_nature_therapy_purchased,12_pro_accelerator_purchased,equine-animal-assisted-nature-therapy-certification,12-pro-accelerator,equine-animal-assisted-nature-therapy-certification,checkout-equine-animal-assisted-nature-therapy,oto-12-pro-accelerator,thank-you-equine-animal-assisted-nature-therapy,97,397,NOT LAUNCHED
,Sarah,fm-health,13,Narcissistic Abuse & Relationship Trauma,narcissistic-abuse-relationship-trauma,13-pro-advanced,13-pro-master,13-pro-practice,narcissistic_abuse_relationship_trauma_purchased,13_pro_accelerator_purchased,narcissistic-abuse-relationship-trauma-certification,13-pro-accelerator,narcissistic-abuse-relationship-trauma-certification,checkout-narcissistic-abuse-relationship-trauma,oto-13-pro-accelerator,thank-you-narcissistic-abuse-relationship-trauma,97,397,NOT LAUNCHED
